NQUEST,AREA5,YL,YT,YM,YC,CD,CN,S,AR,AF,PF,BD,ANASC,ETA,Q
11972,4,0.0,11700.0,10000.0,7300.0,0,13300.0,15700.0,553000.0,0.0,10000,25000,1948,56,2
20020,2,29500.0,3100.0,0.0,2441.486165,0,24000.0,11041.48617,133000.0,5000.0,0,15000,1955,49,1
20020,2,29500.0,3100.0,0.0,2441.486165,0,24000.0,11041.48617,133000.0,5000.0,0,15000,1959,45,1
20020,2,29500.0,3100.0,0.0,2441.486165,0,24000.0,11041.48617,133000.0,5000.0,0,15000,1981,23,3
20028,2,0.0,17082.0,0.0,8007.930386,0,21600.0,3489.930386,250000.0,242000.0,0,5000,1935,69,3
20154,1,23000.0,25200.0,0.0,18715.89124,0,36700.0,30215.89124,488000.0,1915.245951,5000,20000,1946,58,3
20154,1,23000.0,25200.0,0.0,18715.89124,0,36700.0,30215.89124,488000.0,1915.245951,5000,20000,1947,57,3
20154,1,23000.0,25200.0,0.0,18715.89124,0,36700.0,30215.89124,488000.0,1915.245951,5000,20000,1979,25,1
20154,1,23000.0,25200.0,0.0,18715.89124,0,36700.0,30215.89124,488000.0,1915.245951,5000,20000,1974,30,1
20170,1,0.0,18980.0,0.0,1023.375319,300,17280.0,2423.375319,1000.0,41322.48776,0,11000,1932,72,3
20170,1,0.0,18980.0,0.0,1023.375319,300,17280.0,2423.375319,1000.0,41322.48776,0,11000,1933,71,3
20174,2,0.0,24830.0,0.0,7659.584921,0,29000.0,3489.584921,230000.0,12315.27433,0,40000,1941,63,3
20174,2,0.0,24830.0,0.0,7659.584921,0,29000.0,3489.584921,230000.0,12315.27433,0,40000,1942,62,3
20179,2,61200.0,0.0,0.0,8057.49733,0,37200.0,32057.49733,765000.0,35000.0,0,22000,1953,51,1
20179,2,61200.0,0.0,0.0,8057.49733,0,37200.0,32057.49733,765000.0,35000.0,0,22000,1954,50,1
20179,2,61200.0,0.0,0.0,8057.49733,0,37200.0,32057.49733,765000.0,35000.0,0,22000,1978,26,3
20179,2,61200.0,0.0,0.0,8057.49733,0,37200.0,32057.49733,765000.0,35000.0,0,22000,1981,23,3
20179,2,61200.0,0.0,0.0,8057.49733,0,37200.0,32057.49733,765000.0,35000.0,0,22000,1984,20,1
20223,1,0.0,20800.0,24000.0,5051.28332,0,10800.0,39051.28332,140000.0,81240.10848,0,37000,1939,65,3
20223,1,0.0,20800.0,24000.0,5051.28332,0,10800.0,39051.28332,140000.0,81240.10848,0,37000,1938,66,3
20223,1,0.0,20800.0,24000.0,5051.28332,0,10800.0,39051.28332,140000.0,81240.10848,0,37000,1971,33,2
20231,2,8400.0,0.0,40000.0,9701.736495,1000,19200.0,37901.7365,203000.0,53300.0,1000,45000,1949,55,2
20231,2,8400.0,0.0,40000.0,9701.736495,1000,19200.0,37901.7365,203000.0,53300.0,1000,45000,1953,51,2
